Text;Filename;MED short title;Source corpus;Edn.;MS;MED date;Area;V/P;Genre;Words
Amis and Amiloun;eme.amiloun;Amis (Auch);Auchinleck;Leach 1937 (EETS 203);Auchinleck;c1330(?c1300);EM;V;NARR; 13.700 
Ancrene Riwle;eme.ancrene;Ancr.;PPCME2;Ackerman & Dahood 1984 + Dobson 1972 (EETS O.S. 267);Cotton Cleopatra C. vi;c1230;WM;P;RELIG; 63.790 
Ayenbite of Inwit;eme.ayenb;Ayenb. (Arun 57);CMEPV;Morris/Gradon 1965;Arundel 57;1340;K;P;RELIG; 90.000 
Sayings of St. Bernard;eme.bernard;Sayings St.Bern. (Dgb 86);CMEPV;Horstmann 1892;Digby 86;?a1300;S;V;LYR; 740 
Bestiary/Physiologus;eme.bestia;Bestiary (Arun 292);CMEPV;Morris 1872 (EETS O.S. 49);Arundel 292;a1300(a1250);EM;V;RELIG; 4.240 
Sir Beues of Hamtoun;eme.beues;Bevis (Auch);Auchinleck;Kölbing 1885, 1886, 1894 (EETS ES 46, 48, 65);Auchinleck;c1330(?c1300);EM;V;NARR; 26.600 
Layamon's Brut (Caligula, ll. 3098–16096);eme.brutcali;Lay.Brut (Clg A.9);CMEPV;Brook & Leslie 1963 (EETS 250);Cotton Caligula A. ix;c1275(?a1200);WM;V;NARR;109000
Layamon's Brut (Otho, ll. 1–2996);eme.brutotho;Lay.Brut (Otho C.13);CMEPV;Brook & Leslie 1963 (EETS 250);Cotton Otho C. xiii;c1300;S;V;NARR;23000
Charter of Henry II;eme.charter;Chart.Hen.II in Hall EME (Hrl Charter 3.B.49);–;Hall 1920;Harley Charter 3.B.49;1155;K;P;STAT; 203 
Proclamation of Henry III;eme.declhen;Procl.Hen.III;HC;Dickens & Wilson 1951;Public Record Office, C66;1258;EM;P;STAT; 368 
A Book of Dreaming;eme.dreambk;Dream Bk.(1) (Hrl 2253);–;Förster 1911;Harley 2253;c1325;WM;V;LYR; 1.700 
The Earliest Complete English Prose Psalter;eme.earlps;MPPsalter (Add 17376);PPCME2;Bülbring 1891 (EETS O.S. 97);Additional 17376;c1350;EM;P;RELIG; 44.454 
The Fox and the Wolf;eme.foxwo;Fox & W. (Dgb 86);CMEPV;McKnight 1971;Digby 86;?a1300;S;V;DIAL; 1.820 
Genesis and Exodus;eme.genexod;Gen.& Ex. (Corp-C 444);–;Morris 1873 (EETS O.S. 57, 59);Corpus Christi 444;a1325(c1250);EM;V;NARR; 24.960 
Hali Meidhad;eme.hali;HMaid. (Bod 34);PPCME2;D'Ardenne 1977;Bodley 34;c1225_?c1200;WM;P;RELIG; 8.495 
Names of a Hare;eme.hare;Names Hare (Dgb 86);–;Ross 1933;Digby 86;?a1300;S;V;LYR; 283 
"Harley lyrics (Brook 1-14; 16-18; 21-25; 27-32)";eme.harlyr;var.;CMEPV;Brook 1948;Harley 2253;c1325;WM;V;LYR; 8.100 
Harrowing of Hell;eme.harrow;Harrow.H. (Auch);Auchinleck;Hulme 1907 (EETS E.S. 100);Auchinleck;c1330;EM;V;DIAL; 1.200 
Havelok the Dane;eme.havelok;Havelok (LdMisc 108);CMEPV;Madden & Skeat 1868 (EETS E.S. 4);Laud Misc. 108;(c1300);EM;V;NARR; 17.700 
King Horn;eme.horn;Horn (Cmb Gg.4.27);HC;Lumby & McKnight 1866 (EETS O.S. 14);Cambridge Gg. 4.27.2;c1300(?c1225);S;V;NARR; 7.250 
Horn Childe & Maiden Rimnild;eme.hornch;Horn Child (Auch);Auchinleck;Mills 1988;Auchinleck;c1330;EM;V;NARR; 5.675 
Hymns from Nero A. xiv (Wooing Group);eme.hymns;"Lofsong Lefdi (Nero A.14); Lofsong Louerde (Nero A.14); Creed (Nero A.14)";CMEPV;Morris 1969 (EETS O.S. 29, 34);Cotton Nero A. xiv;a1250;WM;P(all);LYR; 2.450 
Iacob and Iosep;eme.iacob;Jacob & J. (Bod 652);CMEPV;Napier 1916;Bodley 652;?a1300;S;V;NARR; 4.650 
Interlude of the Clerk and the Girl;eme.interl;Interl.CG (Add 23986);HC;McKnight 1971;Additional 23986;a1325(?a1300);EM;V;DIAL; 540 
St. Juliana;eme.juliana;St.Juliana (Bod 34);PPCME2;D'Ardenne 1977;Bodley 34;c1225_?c1200;WM;P(all);NARR; 6.810 
St. Katherine;eme.kathe;St.Kath.(1) (Bod 34);PPCME2;D'Ardenne 1977;Bodley 34;c1225_?c1200;WM;P(all);NARR; 8.699 
Kentish Homilies;eme.kenthom;"Vsp.D.Hom.Fest.Virg. (Vsp D.14); Vsp.D.Hom.Elucid. (Vsp D.14)";PPCME2;Warner 1972 (EETS O.S. 152);Cotton Vesp. D. xiv;a1150 (c1125);K;P;RELIG; 4.287 
Kentish Sermons;eme.kentse;Ken.Serm. (LdMisc 471);PPCME2;Hall 1963;Laud Misc. 471;c1275;K;P;RELIG; 3.534 
Lambeth Homilies (M1);eme.lamb;Lamb.Hom. (Lamb 487);PPCME2;Morris 1969 (EETS O.S. 29, 34);Lambeth 487;a1225;WM;P;RELIG; 6.462 
Luue Ron;eme.luueron;A Mayde Cristes (Jes-O 29);CMEPV;Morris 1872 (EETS O.S. 49);Jesus College 29;a1300;WM;V;RELIG; 1.200 
Three lyrics from Egerton MS. 613;eme.lyricseg;"Of on þat is so fayr (Eg 613); I-blessed beo þu (Eg 613); Somer is comen & (Eg 613)";CMEPV;Morris 1872 (EETS O.S. 49);Egerton 613;?c1250;S;V;LYR; 915 
St. Margaret;eme.marga;St.Marg.(1) (Bod 34);PPCME2;D'Ardenne 1977;Bodley 34;c1225_?c1200;WM;P(all);NARR; 8.069 
Sir Orfeo;eme.orfeo;Orfeo (Auch);Auchinleck;Bliss 1966;Auchinleck;c1330;EM;V;NARR; 3.100 
On God Ureisun of ure Lefdi (Cristes milde moder);eme.orislady;Cristes milde moder (Nero A.14);CMEPV;Morris 1969 (EETS O.S. 29, 34);Cotton Nero A. xiv;a1250;WM;V;LYR; 1.500 
On Ureisun of oure Louerde;eme.orislord;Orison Lord (Lamb 487);CMEPV;Morris 1969 (EETS O.S. 29, 34);Lambeth 487;a1250;WM;P(all);LYR; 1.250 
Ormulum;eme.ormulum;Orm. (Jun 1);CMEPV;Holt 1878;Junius 1;?c1200;EM;V;RELIG; 96.000 
The Owl and the Nightingale (Caligula);eme.owlcali;Owl & N. (Clg A.9);CMEPV;Atkins 1922;Cotton Caligula A. ix;c1275(?a1216);WM;V;DIAL; 10.800 
The 11 Pains of Hell;eme.pains;11 Pains(1) (Jes-O 29);CMEPV;Morris 1872 (EETS O.S. 49);Jesus College 29;a1300;WM;V;RELIG; 1.600 
The Passion of Our Lord;eme.passion;I-hereþ nv one (Jes-O 29);CMEPV;Morris 1872 (EETS O.S. 49);Jesus College 29;a1300;WM;V;RELIG; 6.600 
The Rhymed Pater Noster (Lambeth Homily 6);eme.patern;Lamb.Hom.Pater N. (Lamb 487) ;CMEPV;Morris 1969 (EETS O.S. 29, 34);Lambeth 487;a1225;WM;V;RELIG; 1.800 
The Peterborough Chronicle (Anglo-Saxon Chron. E);eme.peterb;Peterb.Chron. (LdMisc 636);ICMEP;Clark 1958;Laud Misc. 636;c1150;EM;P;NARR; 2.630 
Poema Morale;eme.pmor;PMor. (Lamb 487);CMEPV;Morris 1969 (EETS O.S. 29, 34);Lambeth 487;a1225(?c1175);WM;V;RELIG; 3.940 
Historical poems of Harley 2253;eme.poemh;"Flem.Insur. (Hrl 2253); Execution Fraser (Hrl 2253); Death Edw.I (Hrl 2253)";HC;Robbins 1959;Harley 2253;c1325;WM;V;NARR; 2.990 
The Prophecy of Thomas of Erceldoune;eme.prophecy;When man as mad (Hrl 2253);–;Murray 1875 (EETS 57, 59);Harley 2253;c1325;WM;P(all);LYR; 191 
Recipes for painting etc.;eme.recipes;Recipe Painting(1) in Archaeol.J.1 (Hrl 2253);–;Wright 1844;Harley 2253;(c1325);WM;P;SECUL; 934 
Robert of Gloucester's Chronicle;eme.robglo;Glo.Chron.A (Clg A.11);CMEPV;Wright 1887;Cotton Caligula A. xi;c1325(c1300);S;V;NARR;121000
History of the Holy Rood-tree;eme.rood;HRood (Bod 343);ICMEP;Napier 1894 (EETS O.S. 103);Bodley 343;c1175(?OE);S;P;NARR; 7.456 
Sawles Warde;eme.sawles;SWard (Bod 34);PPCME2;D'Ardenne 1977;Bodley 34;c1225_?c1200;WM;P;RELIG; 4.111 
Sayings of St. Bede (Sinners Beware!);eme.saybede;Sayings St.Bede (Jes-O 29);CMEPV;Morris 1872 (EETS O.S. 49);Jesus College 29;a1300;WM;V;RELIG; 1.645 
Early South-English Legendary;eme.seleg;SLeg.X (LdMisc 108);CMEPV;Horstmann 1887 (EETS O.S. 87);Laud Misc. 108;c1300;S;V;NARR; 174.200 
The Shires and Hundreds of England;eme.shires;Hundreds Engl. (Jes-O 29);CMEPV;Morris 1872 (EETS O.S. 49);Jesus College 29;a1300;WM;P;SECUL; 427 
Poems of William of Shoreham;eme.shoreh;Shoreham Poems (Add 17376);CMEPV;Konrath 1902 (EETS E.S. 86);Additional 17376;c1350(a1333);K;V;LYR; 22.475 
Dame Sirith;eme.sirith;Sirith (Dgb 86);CMEPV;McKnight 1971;Digby 86;?a1300;–;V;NARR;2500
