Text;Filename;MED short title;Source corpus;Edn.;MS;MED date;Area;V/P;Genre;Words
Agnus Castus. A Middle English Herbal;lme.agnus;Agnus Castus (Stockh 10.90);ICMEP;Liljegren 1950;Stockholm Roy. Lib. 90;?a1450;EM;P;SECUL; 27.000 
The Art of Hunting;lme.arthunt;Twiti Venery(2) (Mellon);ICMEP;Danielsson 1977;Mellon MS (olim Phillipps 12086);c1450;WM;P;SECUL; 3.690 
Recipes from Ashmole 1439;lme.ashmcook;Ashm.Cook.Bk. (Ashm 1439);ICMEP;Austin 1888;Ashmole MS. 1439;?a1450;–;P;SECUL; 970 
Ashmole Lapidary;lme.ashmlapi;Ashm.1447 Lapid.;ICMEP;Evans & Serjeantson 1933 (EETS 190);Ashmole 1447;a1500;EM;P;SECUL; 300 
Chaucer: A Treatise on the Astrolabe;lme.astske;Chaucer Astr. (Cmb Dd.3.53);ICMEP;Skeat 1899;Dd. 3. 53;c1400;EM;P;SECUL; 16.698 
Awntyrs of Arthur;lme.awntyrs;Awntyrs Arth. (Dc 324);CMEPV;Amours 1897;Douce 324;a1500;EM;V;NARR; 5.300 
Bekynton Letters;lme.bekynton;Let.Bekynton;ICEL;Williams 1872;–;1442-1447;EM;P;ADDR; 3.151 
The Book of Quintessence;lme.bookque;Bk.Quint. (Sln 73);ICMEP;Furnivall 1889 (EETS 16);Sloane 73;a1475;EM;P;RELIG; 9.830 
The Brut or The Chronicles of England;lme.brut;Brut-1333 (Rwl B.171);PPCME2;Brie 1906 (EETS 131);Rawlinson B.171;c1400;WM;P;NARR; 50.377 
Capgrave's Chronicle;lme.capchr;Capgr.Chron. (Cmb Gg.4.12);PPCME2;Lucas 1983 (EETS 285);Gg.4.12;a1464;EM;P;NARR; 52.850 
Capgrave's Sermon;lme.capser;Capgr.Aug.Orders (Add 36704);PPCME2;Munro 1910 (EETS 140);Additional 36704;c1452;EM;P;RELIG; 1.469 
Caxton: Prologues and Epilogues;lme.caxpro;var.;HC;Crotch 1928 (EETS 176);–;1477-1484;EM;P;SECUL; 6.200 
Caxton's History of Reynard the Fox;lme.caxreyn;Caxton Reynard;PPCME2;Blake 1970 (EETS 263);–;1481;EM;P;NARR; 8.799 
Cely Letters;lme.cely;Let.Cely;ICEL;Hanham 1975;–;1476-1487;EM;P;ADDR; 8.050 
Chauliac's Cyrurgie (sample);lme.chauli;Chauliac(2) (Paris angl.25);HC;Ogden 1971 (EETS 265);Bibliothèque Nationale angl.25;?c1425;EM;P;SECUL; 6.430 
The Cloud of Unknowing;lme.cloud;Cloud (Hrl 674);PPCME2;Hodgson 1944 (EETS 218);Harley 674;a1425 (?a1400);EM;P;RELIG; 15.723 
Recipes from Douce MS. 55;lme.dccook;Dc.55 Cook.Recipes (Dc 55);ICMEP;Austin 1888;Douce MS. 55;c1450;–;P;SECUL; 1.050 
The dethe of James Kynge of Scotis;lme.deathjas;Shirley Death Jas. (Add 5467);CMEPV;Miscellanea Scotica 2 (1818);Additional 5467;a1475 (a1456);–;P;NARR; 6.800 
Depositions;lme.deposit;–;HC;Fisher et al. 1984;–;c1428-1437;EM;P;STAT; 1.970 
