Text;Filename;DOE short title;Edn.;MS;Ker date;V/P;Genre;Words
Charters: Documents 3 (O3);T12830 + T12840 + T13110 + T13160 + T13200 + T13220 + T13280 + T13320 + T13340 + T13460 + T13470 + T13530 + T13600 + T13610 + T13640 + T13850 + T13880;"(1) Ch 1394, Ch 1399, Ch 1447, Ch 1454, Ch 1458, Ch 1460, Ch 1467, Ch 1471, Ch 1473, Ch 1506; (2) Ch 1486, Ch 1487, Ch 1494, Ch 1501, Ch 1503, Ch 1530, Ch 1534";"(1) Robertson 1956 (1939); (2) Whitelock 1930";–;–;P;STAT; 7.147 
Charters: Documents 3 (O2/O3);T10020 + T09970;"(1) Ch 218; (2) Ch 98";"(1) Harmer 1914; (2) Robertson 1956 (1939)";–;–;P;STAT; 672 
Adrian and Ritheus;T06110;Ad;Cross & Hill 1982;Cott. Jul. A.II;xi med;P;RELIG; 1.093 
Ælfric's Catholic Homilies I;T02050-T02500;ÆCHom I (1-40);Clemoes 1997;Cg.3.28;x/xi;P;RELIG; 105.444 
Ælfric's Preface to Catholic Homilies I;T02040;ÆCHom I (Pref);Clemoes 1997;Gg.3.28;x/xi;P;RELIG; 1.034 
Ælfric's Catholic Homilies II;T02520-T02990;ÆCHom II (1-45);Godden 1979;Cg.3.28;x/xi;P;RELIG; 97.390 
Ælfric's Preface to Catholic Homilies II;T02510;ÆCHom II (Pref);Godden 1979;Gg.3.28;x/xi;P;RELIG; 215 
Ælfric's Grammar;T03960;ÆGram;Zupitza 1880 [repr. 1966];St. John's College154;xi in;P;SECUL; 25.746 
Ælfric, Supplemental Homilies (1-19, 22, 26-28, 30-31);"T03360-T03540; T03570; T03610-T03650; T03670-T03680";ÆHom (1-19, 22, 26-28, 30-31);Pope 1968;var.;x/xi - xi med;P;RELIG; 53.652 
Ælfric's Letter to Wulfstan I;T03900;ÆLet2 (Wulfstan 1);Fehr 1914;Corp. Chr. Coll. 190;xi med;P;RELIG; 4.280 
Ælfric's Letter to Wulfstan II;T03910;ÆLet3 (Wulfstan 2);Fehr 1914;Corp. Chr. Coll. 190;xi med;P;RELIG; 3.680 
Ælfric's Lives of Saints;T03020-T03350;ÆLS;Skeat 1966 (1881-1900);Cott. Jul. E.VII;xi in;P;NARR; 100.087 
Aldhelm;T01700;Aldhelm;Dobbie 1942;CCC MS. 326;x 2 – xi in.;V;LYR; 69 
Ælfric's Preface to Lives of Saints;T03010;ÆLS (Pref);Skeat 1966 (1881-1900);Cott. Jul. E.VII;xi in;P;RELIG; 363 
Ælfric's De Temporibus Anni;T03990;ÆTemp;Henel 1942 [repr. 1971];Gg.3.28;x/xi;P;SECUL; 5.311 
Alms-Giving;T00950;Alms;Krapp and Dobbie 1936;Exeter Cath. 3501;x 2;V;RELIG; 54 
Andreas;T00050;And;Krapp 1932a;Vercelli Cod. CXVII;x 2;V;NARR; 9.287 
Alexander's Letter to Aristotle;T23000;Alex;Orchard 1995;Cott. Vit. A.XV;x/xi;P;NARR; 7.264 
Apollonius of Tyre;T06080;ApT;Goolden 1958;Corp. Chr. Coll. 201;xi med;P;NARR; 6.528 
Azarias;T00130;Az;Krapp and Dobbie 1936;Exeter Cath. 3501;x 2;V;NARR; 1.060 
Bede's Ecclesiastical History;T06840, T06860, T06870, T06880, T06900, T06910;Bede 1–5, BedePref;Miller 1959-1963 (1890-1898);Kk.3.18;xi 2;P;SECUL;78084
Benedictine Rule;T06980;BenR;Schröer 1885-1888;Corp. Chr. Coll. 178;xi 1;P;RELIG; 20.006 
Boethius;T06660, T06665;Bo, BoProem;Sedgefield 1899;Otho A.VI;x med;P;SECUL;47309
Beowulf;T01370;Beo;Dobbie 1953;Cott. Vit. A. xv;x/xi;V;NARR; 17.304 
Byrhtferth's Manual;T22710;ByrM 1;Baker & Lapidge 1995;Ashmole 328;xi med;P;SECUL; 19.666 
Rule of Chrodegang;T07030;ChrodR 1;Napier 1971 (1916);Corpus Christi College, 191;xi 3/4;P;RELIG;18110
Anglo-Saxon Chronicle C;T22040;ChronC;Rositzke 1967 (1940);Cott. Tib. B.I;xi 1 - xi 2;P;NARR; 22.502 
Cura Pastoralis;T06560;CP;Sweet 1958 (1871);Hatton 20;ix ex;P;RELIG;67835
Cura Pastoralis (Cotton fragment);T06570;CP (Cotton) ;Sweet 1958 (1871);Tiberius B.XI;ix ex;P;RELIG;2117
Christ and Satan;T00040;Sat;Krapp 1931;Junius 11;x/xi, xi 1;V;DIAL; 4.376 
Christ I, II, III;T00110;ChristA,B,C;Krapp and Dobbie 1936;Exeter Cath. 3501;x 2;V;LYR; 9.654 
Preface to Cura Pastoralis;T06540;CPLetWærf;Sweet 1958 (1871);Tiberius B.XI;ix ex;P;RELIG;874
Tables of Lucky and Unlucky Days;T23430-T23480;Days 4 – 6;"Förster 1929; Henel 1934-5";Vitellius C. viii + Vitellius E. xviii + Harley 3271;xi 1 + xi med + xi 1;P;SECUL; 1.099 
Daniel;T00030;Dan;Krapp 1931;Junius 11;x/xi, xi 1;V;NARR; 4.471 
Deor;T00300;Deor;Krapp and Dobbie 1936;Exeter Cath. 3501;x 2;V;LYR; 224 
Deuteronomy;T06250;Deut;Crawford 1922;Cott. Claudius B.IV;xi 1;P;NARR; 8.182 
Dream of the Rood;T00090;Dream;Krapp 1932a;Vercelli Cod. CXVII;x 2;V;LYR; 1.109 
Elene;T00100;El;Krapp 1932a;Vercelli Cod. CXVII;x 2;V;NARR; 7.312 
The Battle of Brunanburh;T01450;Brun;Dobbie 1942;CCC MS. 173;ix/x;V;NARR; 366 
Exodus (Claudius B.iv);T06220;Exod;Crawford 1922;Cott. Claudius B.IV;xi 1;P;NARR; 14.145 
Exodus (verse);T00020;Ex;Krapp 1931;Junius 11;x/xi, xi 1;V;NARR; 2.974 
Gregory's Dialogues (H version);T06790 + T06820;GD 1 (H) + GD 2 (H);Hecht 1965 (1900-1907);Hatton 76;xi 1;P;DIAL; 23.214 
Genesis (Claudius B.iv);T06210;Gen;Crawford 1922;Cott. Claudius B.IV;xi 1;P;NARR; 21.749 
Genesis I, II (verse);T00010;GenA,B;Krapp 1931;Junius 11;x/xi, xi 1;V;NARR; 17.057 
Genesis Fragment;T06200;Gen (Ker);(Ker in) Crawford 1922;Corp. Chr. Coll. 201;xi med;P;NARR; 5.197 
Blickling Homilies;T04360 + T04380 + T04430 + T04460 + T04490 + T04560 + T04700 + T04770 + T04780 + T04830 + T04950 + T05000 + T05050 + T05110 + T05190 + T05500 + T05510 + T05520;"HomS (BlHom 2-7, 9, 11-12)
HomU (BlHom 1, 8, 10)
LS (BlHom 13-15, 17(MichaelMor), 17(MartinMor), 19)";Morris 1967 (1874-1880);Scheide Coll.;x/xi;P;RELIG/NARR; 42.190 
Vercelli Homilies;T04290 + T04300 + T04310 + T04320 + T04400 + T04520 + T04630 + T04650 + T04670 + T04680 + T04710 + T04740 + T05340 + T05350 + T05360 + T05370 + T05380 + T05390 + T06020 + T05010 + T05040 + T06040;"HomS (ScraggVerc 1, 3, 5, 8, 9, 10, 11, 12, 13, 16, 19, 20)
HomU (ScraggVerc 2, 4, 6, 7, 15, 22)
HomM (ScraggVerc 14, 21)
LS (ScraggVerc 17, 18)";Scragg 1992;Vercelli CXVII;x 2;P;RELIG/NARR; 45.376 
Vercelli Homilies, Homily I (De Parasceve);T04530;HomS 24.1 (Scragg);Scragg 1992;Bodley 340 + 342;xi in;P;RELIG; 4.401 
Gospel of St. John;T06440;Jn (WSCp);Skeat 1871-1887;Corp. Chr. Coll. 140;xi 1;P;NARR; 17.093 
The Fortunes of Men;T00220;Fort;Krapp and Dobbie 1936;Exeter Cath. 3501;x 2;V;LYR; 547 
Joshua;T06260;Josh;Crawford 1922;Cott. Claudius B.IV;xi 1;P;NARR; 4.457 
Homiletic Fragment I;T00080;HomFr I;Krapp 1932a;Vercelli Cod. CXVII;x 2;V;RELIG; 264 
The Gifts of Men;T00170;Gifts;Krapp and Dobbie 1936;Exeter Cath. 3501;x 2;V;RELIG; 605 
Laws of Alfred;T09290;LawAf 1;Lieberman 1903-16;Corpus Christi College, 173;ix/x - x 2;P;STAT;3317
Alfred's Introduction to Laws;T09280;LawAfEl;Lieberman 1903-16;Corpus Christi College, 173;ix/x - x 2;P;STAT;1967
The Capture of the Five Boroughs;T01460;Capt;Dobbie 1942;CCC MS. 173;ix/x;V;NARR; 57 
Judith;T01380;Jud;Dobbie 1953;Cott. Vit. A. xv;x/xi;V;NARR; 2.027 
Guthlac A and B;T00120;GuthA,B;Krapp and Dobbie 1936;Exeter Cath. 3501;x 2;V;NARR; 7.932 
The Coronation of Edgar;T01470;CEdg;Dobbie 1942;CCC MS. 173;ix/x;V;NARR; 118 
Laws, Cnut I;T09630;LawICn;Lieberman 1903-16;Cott. Nero A.I;xi med;P;STAT; 2.380 
Laws, Cnut II;T09640;LawIICn;Lieberman 1903-16;Cott. Nero A.I;xi med;P;STAT; 4.800 
Northumbra Preosta Lagu;T09660;LawNorthu;Lieberman 1903-16;Corp. Chr. Coll. 201;xi in;P;STAT; 1.310 
Laws, Æthelred V;T09540;LawVAtr;Lieberman 1903-16;Cott. Nero A.I;xi med;P;STAT; 1.218 
Laws, Æthelred VI;T09560;LawVIAtr;Lieberman 1903-16;Cott. Claudius A.III;x/xi - xi 1;P;STAT; 2.195 
Herbarium;T22740;Lch I (Herb);de Vriend 1984;Cott. Vit. C.III;xi 1;P;SECUL; 21.547 
Bald's Leechbook;T22790 + T22810 + T22830;Lch II (1)-(3);Cockayne 1864-1866;Royal 12 D.XVII;x med;P;SECUL; 34.511 
The Death of Alfred;T01490;DAlf;Dobbie 1942;Cott. Tib. B. i;xi 1 – xi 2;V;NARR; 198 
Leviticus;T06230;Lev;Crawford 1922;Cott. Claudius B.IV;xi 1;P;NARR; 3.034 
Gospel of St. Luke;T06430;Lk (WSCp);Skeat 1871-1887;Corp. Chr. Coll. 140;xi 1;P;NARR; 21.126 
Saint Margaret;T04990;LS 16;Clayton & Magennis 1994;Cott. Tib. A.III;xi med;P;NARR; 3.661 
The Descent into Hell;T00940;Hell;Krapp and Dobbie 1936;Exeter Cath. 3501;x 2;V;LYR; 811 
The Death of Edgar;T01480;DEdg;Dobbie 1942;CCC MS. 173;ix/x;V;NARR; 217 
Meters of Boethius;T01400;Met;Krapp 1932b;;;V;SECUL;10091
The Death of Edward;T01500;DEdw;Dobbie 1942;Cott. Tib. B. i;xi 1 – xi 2;V;NARR; 172 
The Battle of Finnsburh;T01410;Finn;Dobbie 1942;–;–;V;NARR; 293 
Preface to Gregory's Dialogues;T01810;GDPref;Dobbie 1942;Cott. Otho C. i;xi in, xi med;V;RELIG; 192 
Judgment Day II;T01570;JDay II;Dobbie 1942;CCC MS. 201;xi in.;V;RELIG; 1.809 
The Kentish Hymn;T01650;KtHy;Dobbie 1942;Cott. Vesp. D. vi;x med;V;LYR; 232 
Kentish Psalm (Ps 50);T01660;KtPs;Dobbie 1942;Cott. Vesp. D. vi;x med;V;NARR; 846 
Lord's Prayer II;T01600;LPr II;Dobbie 1942;CCC MS. 201;xi in.;V;LYR; 747 
The Battle of Maldon;T01440;Mald;Dobbie 1942;Rawlinson B203;–;V;NARR; 2.083 
Maxims II;T01550;Max II;Dobbie 1942;Cott. Tib. B. i;xi 1 – xi 2;V;LYR; 432 
Metrical Charm 1;T01830;MCharm 1;Dobbie 1942;Cott. Cal. A. vii;xi 1;V;LYR; 642 
Metrical Charm 10;T01920;MCharm 10;Dobbie 1942;CCC MS. 41;xi 1;V;LYR; 84 
Mary of Egypt;T05090;LS 23;Skeat 1881-1900 [repr 1966];Cott. Jul. E.VII;xi in;P;NARR; 8.124 
Seven Sleepers;T05210;LS 34;Magennis 1994;Cott. Jul. E.VII;xi in;P;NARR; 9.137 
Saint Christopher;T04860;LS 4;Rypins 1924 [repr. 1971];Cott. Otho B.X;xi med;P;NARR; 1.425 
Saint Euphrosyne;T04890;LS 7;Skeat 1881-1900 [repr 1966];Cott. Jul. E.VII;xi in;P;NARR; 3.655 
Paris Psalter;T01390;PPs;Krapp 1932b;Fonds Latin 8824;xi med;V;LYR; 29.396 
Homiletic Fragment II;T00980;HomFr II;Krapp and Dobbie 1936;Exeter Cath. 3501;x 2;V;RELIG; 104 
The Husband's Message;T01010;Husb;Krapp and Dobbie 1936;Exeter Cath. 3501;x 2;V;LYR; 279 
